client,round,AUPRC,scale_pos_weight,round_time_s
ulb,1,0.8657270830456696,577.2868020304569,22.81810975074768
ulb,2,0.8704846168915029,577.2868020304569,22.15979290008545
ulb,3,0.8679564946285405,577.2868020304569,22.601932048797607
ulb,4,0.8732395029297486,577.2868020304569,23.373825073242188
ulb,5,0.8643830996582398,577.2868020304569,22.79875087738037
ulb,6,0.8668709916135269,577.2868020304569,22.86349391937256
ulb,7,0.865964189834364,577.2868020304569,22.41213297843933
ulb,8,0.8735396305172166,577.2868020304569,23.044224977493286
ulb,9,0.8714077872237638,577.2868020304569,23.554440021514893
ulb,10,0.866629589169751,577.2868020304569,22.535871982574463
baf,1,0.1340446619478901,89.67210699308625,59.45289897918701
baf,2,0.13320121898660628,89.67210699308625,58.99227523803711
baf,3,0.13280644254620846,89.67210699308625,76.64308404922485
baf,4,0.13332606700683758,89.67210699308625,101.77864289283752
baf,5,0.13342418729933161,89.67210699308625,57.539928913116455
baf,6,0.13381457406479413,89.67210699308625,56.96531319618225
baf,7,0.1331731136670114,89.67210699308625,59.709304094314575
baf,8,0.1331544953667055,89.67210699308625,59.044466972351074
baf,9,0.13248421910612718,89.67210699308625,59.53630304336548
baf,10,0.13303520739396651,89.67210699308625,57.539153814315796
synthetic,1,0.044812244031282485,26.84732664995823,20.243286848068237
synthetic,2,0.044953770726860506,26.84732664995823,19.632224082946777
synthetic,3,0.04496987927900313,26.84732664995823,20.92489194869995
synthetic,4,0.0443151905123079,26.84732664995823,20.031672954559326
synthetic,5,0.04514264181445283,26.84732664995823,20.48571491241455
synthetic,6,0.0450901838956998,26.84732664995823,20.105081796646118
synthetic,7,0.04453994644800051,26.84732664995823,19.841583967208862
synthetic,8,0.04503478971389282,26.84732664995823,20.27137517929077
synthetic,9,0.04485830603398898,26.84732664995823,20.416550159454346
synthetic,10,0.04438467713877964,26.84732664995823,20.302303075790405
